q,base_r100,base_r1e8,n40_r1e8
1.49,0.0915868875868,0.000113773407294,0.0126109290721
1.50,0.0909090909091,9.99900009999e-05,0.012597490251
1.51,0.0902540662045,8.7935894558e-05,0.0125857374972
1.52,0.089622003868,7.73931818748e-05,0.0125754583523
1.53,0.089013096314,6.81712118197e-05,0.0125664669315
1.54,0.0884275383216,6.01032623258e-05,0.0125586006808
1.55,0.0878655273717,5.30436025134e-05,0.0125517175125
1.56,0.0873272639736,4.68649013919e-05,0.0125456932789
1.57,0.0868129519797,4.14559453614e-05,0.0125404195467
1.58,0.0863227988853,3.67196302485e-05,0.0125358016395
1.59,0.0858570161125,3.25711969258e-05,0.012531756917
1.60,0.0854158192741,2.89366826748e-05,0.0125282132656
1.61,0.0849994284166,2.57515633369e-05,0.0125251077743
1.62,0.0846080682393,2.29595639546e-05,0.0125223855749
1.63,0.084241968286,2.05116180468e-05,0.0125199988276
1.64,0.0839013631081,1.83649578855e-05,0.0125179058339
1.65,0.0835864923943,1.64823201701e-05,0.0125160702622
1.66,0.0832976010668,1.48312533333e-05,0.012514460472
1.67,0.0830349393374,1.33835143866e-05,0.0125130489265
1.68,0.0827987627241,1.21145447298e-05,0.0125118116811
1.69,0.0825893320228,1.10030157447e-05,0.0125107279404
1.70,0.0824069132319,1.00304362706e-05,0.0125097796754
1.71,0.0822517774264,9.18081526132e-06,0.0125089512949
1.72,0.0821242005799,8.4403740711e-06,0.0125082293647
1.73,0.0820244633288,7.7973039476e-06,0.0125076023713
1.74,0.0819528506791,7.24156547282e-06,0.0125070605263
1.75,0.0819096516512,6.76472794815e-06,0.0125065956097
1.76,0.0818951588599,6.35984815162e-06,0.0125062008519
1.77,0.0819096680291,6.02138962317e-06,0.0125058708549
1.78,0.081953477438,5.74518582813e-06,0.0125056015562
1.79,0.0820268872967,5.52845345907e-06,0.0125053902421
1.80,0.082130199051,5.3698661322e-06,0.0125052356195
1.81,0.0822637146152,5.26970436938e-06,0.0125051379618
1.82,0.0824277355317,5.2301058666e-06,0.0125050993532
1.83,0.0826225620584,5.25545190506e-06,0.0125051240656
1.84,0.0828484921843,5.35294329755e-06,0.0125052191197
1.85,0.0831058205735,5.53344544515e-06,0.0125053951093
1.86,0.0833948374418,5.81272143255e-06,0.0125056674034
1.87,0.083715827366,6.21323150697e-06,0.0125060579007
1.88,0.0840690680303,6.76676716872e-06,0.012506597598
1.89,0.0844548289145,7.51832393415e-06,0.0125073303658
1.90,0.0848733699273,8.53182114223e-06,0.0125083185256
1.91,0.0853249399917,9.89858160304e-06,0.0125096511171
1.92,0.0858097755875,1.17499304765e-05,0.0125114561822
1.93,0.0863280992596,1.42759124543e-05,0.0125139190146
1.94,0.0868801180979,1.77530106736e-05,0.0125173091854
1.95,0.0874660221998,2.25849106593e-05,0.0125220202879
1.96,0.0880859831217,2.93617550974e-05,0.0125286277112
1.97,0.0887401523314,3.89448123598e-05,0.0125379711921
1.98,0.0894286596707,5.25846339343e-05,0.0125512700181
1.99,0.0901516118391,7.2080881143e-05,0.0125702788591
2.00,0.0909090909091,9.99900009999e-05,0.012597490251
2.01,0.091701152885,0.000139881604804,0.0126363845647
2.02,0.0925278263159,0.00019663483734,0.0126917189664
2.03,0.093389110974,0.00027675235552,0.0127698335466
2.04,0.0942849766105,0.000388653711333,0.0128789373686
2.05,0.0952153617976,0.000542895989458,0.0130293235897
2.06,0.0961801728693,0.0007522628661,0.0132334562944
2.07,0.0971792829693,0.00103166870223,0.0135058769847
2.08,0.0982125312154,0.00139784387583,0.0138628977789
2.09,0.099279721989,0.00186879883557,0.0143220788647
2.10,0.100380624357,0.00246310056878,0.0149015230546
2.11,0.10151497163,0.00319902741233,0.015619051727
2.12,0.102682461071,0.00409368847102,0.0164913462592
2.13,0.103882753741,0.00516219806003,0.0175331431085
2.14,0.105115474508,0.00641698393697,0.0187565593385
2.15,0.106380212198,0.00786728491061,0.0201706027878
2.16,0.107676519901,0.00951886494695,0.0217808933233
2.17,0.109003915438,0.0113739432528,0.0235895946715
2.18,0.11036188196,0.0134313175003,0.0255955345628
2.19,0.111749868712,0.0156866426473,0.0277944765811
2.20,0.11316729192,0.0181328209495,0.0301795004258
2.21,0.114613535831,0.0207604585689,0.0327414471047
2.22,0.116087953868,0.0235583487603,0.0354693900413
2.23,0.11758986991,0.0265139489662,0.0383511002421
2.24,0.11911857969,0.0296138275382,0.0413734818498
2.25,0.120673352291,0.0328440639689,0.0445229623697
2.26,0.12225343173,0.0361905936651,0.0477858288234
2.27,0.123858038636,0.0396394940474,0.0511485066962
2.28,0.125486371991,0.0431772130328,0.0545977827069
2.29,0.127137610936,0.0467907438636,0.058120975267
2.30,0.128810916622,0.0504677519998,0.0617060581998
2.31,0.130505434108,0.054196660636,0.0653417441201
2.32,0.132220294274,0.0579667015881,0.0690175340484
