mode,distance,seed,correlation,sign_fidelity,response_effect,shuffled_effect
slow_dial,0,0,0.9999999999999998,1.0,0.7615941559557649,0.0014958247719889517
slow_dial,0,1,1.0,1.0,0.7615941559557649,-0.006702305159136723
slow_dial,0,2,1.0,1.0,0.761594155955765,0.00268026693643042
slow_dial,0,3,1.0,1.0,0.7615941559557651,0.002432728529236372
slow_dial,0,4,1.0,1.0,0.7615941559557652,0.014237135996689632
slow_dial,0,5,0.9999999999999998,1.0,0.7615941559557651,-0.002139337238114658
slow_dial,0,6,1.0,1.0,0.7615941559557651,-0.002447003272482151
slow_dial,0,7,0.9999999999999999,1.0,0.7615941559557652,0.006231936369450075
slow_dial,0,8,1.0,1.0,0.7615941559557649,-0.0046656845701300576
slow_dial,0,9,1.0,1.0,0.7615941559557649,-0.001572030947873282
slow_dial,10,0,0.9508690647547938,0.9987,0.708251357523258,0.001692609520046906
slow_dial,10,1,0.9517407069741223,0.9991,0.7104603874183227,-0.007605211083881125
slow_dial,10,2,0.9509152759456668,0.9991,0.7087317334821425,0.0030761602500911644
slow_dial,10,3,0.9518866455510874,0.9993,0.7108462764377455,0.003486335448333766
slow_dial,10,4,0.9512435071147385,0.9989,0.7099524204802136,0.010110626790586608
slow_dial,10,5,0.9506233982956727,0.9986,0.7094847473045346,-0.0037365687994999064
slow_dial,10,6,0.9499047403792542,0.9989,0.7091428145787372,-0.00030469467092775204
slow_dial,10,7,0.952032585424958,0.9993,0.7116918130465861,0.007002982016977022
slow_dial,10,8,0.9523540155379121,0.9989,0.7121598924294967,-0.002341974244782996
slow_dial,10,9,0.9514650712358415,0.9992,0.7104731941218371,0.00027641925805577117
slow_dial,40,0,0.8166426833675745,0.924,0.5737970799474782,0.002269835387257668
slow_dial,40,1,0.8205598236532538,0.9249,0.5785236272237579,-0.007906318722417649
slow_dial,40,2,0.8171142730403794,0.9215,0.574727083010908,0.0036717339012675154
slow_dial,40,3,0.8212759082970824,0.9243,0.5788428668961109,0.004060809902254214
slow_dial,40,4,0.8189615624472482,0.9189,0.5775866448354948,0.003444092286042477
