mode,control,seed,generation,positive_fraction,mean_response,parent_child_corr,total_flow,work_in,work_spent,duration
gated,faithful,5,8,0.9296875,1.3272474888872425,0.7331362139605543,1.0,256.0,256.0,256.0
gated,faithful,5,9,0.921875,1.3212975345438382,0.6925855880307988,1.0,256.0,256.0,256.0
gated,faithful,5,10,0.92578125,1.3242725117155405,0.5486836773298674,1.0,256.0,256.0,256.0
gated,faithful,5,11,0.91796875,1.3183225573721362,0.5684291469292323,0.9999999999999998,256.0,256.0,256.0
gated,faithful,5,12,0.91015625,1.3123726030287317,0.5716539327196384,1.0,256.0,256.0,256.0
gated,faithful,5,13,0.93359375,1.3302224660589448,0.5808715561170837,1.0,256.0,256.0,256.0
gated,faithful,5,14,0.921875,1.3212975345438382,0.6925855880307988,1.0000000000000004,256.0,256.0,256.0
gated,faithful,5,15,0.93359375,1.3302224660589448,0.5808715561170837,1.0,256.0,256.0,256.0
gated,faithful,5,16,0.9140625,1.3153475802004337,0.5856132466484956,1.0000000000000004,256.0,256.0,256.0
gated,faithful,5,17,0.8828125,1.2915477628268162,0.7548164672022357,0.9999999999999997,256.0,256.0,256.0
gated,faithful,5,18,0.8984375,1.303447671513625,0.661102757661236,1.0,256.0,256.0,256.0
gated,faithful,5,19,0.89453125,1.3004726943419227,0.5886081448016808,1.0000000000000002,256.0,256.0,256.0
gated,faithful,5,20,0.8828125,1.2915477628268162,0.6348368551426912,1.0,256.0,256.0,256.0
gated,faithful,5,21,0.90625,1.3093976258570295,0.5934869169979851,1.0,256.0,256.0,256.0
gated,faithful,5,22,0.9453125,1.3391473975740513,0.6440940481460319,0.9999999999999998,256.0,256.0,256.0
gated,faithful,5,23,0.953125,1.345097351917456,0.5764156565426274,1.0,256.0,256.0,256.0
gated,faithful,5,24,0.9296875,1.3272474888872425,0.4028100358063832,0.9999999999999999,256.0,256.0,256.0
gated,faithful,5,25,0.9296875,1.3272474888872428,0.7331362139605543,1.0,256.0,256.0,256.0
gated,faithful,5,26,0.9296875,1.3272474888872425,0.4581228472908512,1.0,256.0,256.0,256.0
gated,faithful,5,27,0.9375,1.333197443230647,0.49333333333333335,1.0,256.0,256.0,256.0
gated,faithful,5,28,0.9296875,1.3272474888872428,0.6530875113574285,1.0000000000000004,256.0,256.0,256.0
gated,faithful,5,29,0.91796875,1.3183225573721362,0.7088226458331236,1.0,256.0,256.0,256.0
gated,faithful,5,30,0.90625,1.3093976258570295,0.6587970897341433,1.0,256.0,256.0,256.0
gated,faithful,5,31,0.8828125,1.2915477628268164,0.6086803785885401,0.9999999999999998,256.0,256.0,256.0
gated,faithful,5,32,0.92578125,1.3242725117155405,0.6811430314134972,1.0,256.0,256.0,256.0
gated,faithful,5,33,0.9140625,1.315347580200434,0.5056514458751629,0.9999999999999998,256.0,256.0,256.0
gated,faithful,5,34,0.9140625,1.315347580200434,0.7232564213117665,0.9999999999999997,256.0,256.0,256.0
gated,faithful,5,35,0.8828125,1.2915477628268162,0.6847478864880069,0.9999999999999997,256.0,256.0,256.0
gated,faithful,5,36,0.9140625,1.315347580200434,0.5857546452217234,1.0,256.0,256.0,256.0
gated,faithful,5,37,0.88671875,1.2945227399985184,0.746172844787373,0.9999999999999997,256.0,256.0,256.0
gated,faithful,5,38,0.875,1.2855978084834119,0.6581888905095324,1.0000000000000002,256.0,256.0,256.0
gated,faithful,5,39,0.8671875,1.2796478541400074,0.7235018670334538,0.9999999999999998,256.0,256.0,256.0
gated,faithful,5,40,0.9140625,1.3153475802004337,0.784497556042347,0.9999999999999998,256.0,256.0,256.0
gated,faithful,6,1,0.6953125,1.1487488585851102,0.8978317137870603,1.0,256.0,256.0,256.0
gated,faithful,6,2,0.8046875,1.2320482193927722,0.8985958838324788,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,3,0.91015625,1.3123726030287317,0.7940044247551056,0.9999999999999999,256.0,256.0,256.0
gated,faithful,6,4,0.921875,1.3212975345438382,0.6169644732805306,1.0,256.0,256.0,256.0
gated,faithful,6,5,0.9140625,1.3153475802004337,0.6225430174794672,1.0,256.0,256.0,256.0
gated,faithful,6,6,0.890625,1.2974977171702207,0.604646729618613,0.9999999999999997,256.0,256.0,256.0
gated,faithful,6,7,0.8984375,1.303447671513625,0.6318980987217798,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,8,0.8984375,1.303447671513625,0.6302176245687767,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,9,0.8984375,1.303447671513625,0.5984091098290468,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,10,0.90625,1.3093976258570295,0.7474093186836598,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,11,0.890625,1.2974977171702209,0.6863485850246136,0.9999999999999998,256.0,256.0,256.0
gated,faithful,6,12,0.92578125,1.3242725117155405,0.8168943868372849,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,13,0.890625,1.2974977171702209,0.632825713822488,0.9999999999999998,256.0,256.0,256.0
gated,faithful,6,14,0.921875,1.3212975345438382,0.5423297316444561,1.0000000000000002,256.0,256.0,256.0
gated,faithful,6,15,0.9453125,1.3391473975740515,0.5917503066585709,1.0,256.0,256.0,256.0
gated,faithful,6,16,0.921875,1.3212975345438382,0.48482962054331546,1.0,256.0,256.0,256.0
gated,faithful,6,17,0.93359375,1.3302224660589448,0.5808715561170837,1.0,256.0,256.0,256.0
gated,faithful,6,18,0.94140625,1.3361724204023493,0.565732375642347,1.0000000000000004,256.0,256.0,256.0
gated,faithful,6,19,0.9375,1.333197443230647,0.6493741194318972,1.0,256.0,256.0,256.0
